company_name,total_responses_2025,want_count_2025,unsure_count_2025,not_want_count_2025,unknown_brand_count_2025,avg_response_score_2025,want_pct_2025,unsure_pct_2025,not_want_pct_2025,unknown_brand_pct_2025,rank_want_2025,rank_not_want_2025,rank_unknown_brand_2025
1Fit,1228,354,346,481,47,-0.2057578323454699,0.2882736156351791,0.2817589576547231,0.3916938110749186,0.0382736156351791,14,23,44
Air Astana,1228,578,293,345,12,0.1949013157894736,0.4706840390879478,0.2385993485342019,0.2809446254071661,0.009771986970684,4,41,54
Alabs.Team (Noventiq),1228,70,242,344,572,-0.6615853658536586,0.0570032573289902,0.1970684039087948,0.2801302931596091,0.4657980456026058,54,42,11
Andersen Labs,1228,271,279,283,395,-0.0852340936374549,0.2206840390879478,0.2271986970684039,0.2304560260586319,0.3216612377850162,23,51,18
AtyrauTechInvest,1228,51,208,215,754,-0.5485232067510548,0.0415309446254071,0.1693811074918566,0.1750814332247557,0.6140065146579805,58,61,2
Axellect,1228,64,198,210,756,-0.4851694915254237,0.0521172638436482,0.1612377850162866,0.1710097719869706,0.6156351791530945,55,62,1
BCC Invest,1228,194,391,493,150,-0.4564007421150278,0.1579804560260586,0.3184039087947882,0.4014657980456026,0.1221498371335504,31,22,32
BI Innovations,1228,425,335,394,74,-0.0372616984402079,0.3460912052117263,0.2728013029315961,0.3208469055374592,0.0602605863192182,10,34,40
BTSDigital,1228,208,298,395,327,-0.3485016648168701,0.1693811074918566,0.2426710097719869,0.3216612377850162,0.2662866449511401,29,33,23
Bank CenterCredit & BCC Hub,1228,270,378,553,27,-0.4046627810158201,0.2198697068403908,0.3078175895765472,0.4503257328990228,0.021986970684039,24,16,48
Bank RBK,1228,87,395,667,79,-0.7711053089643168,0.0708469055374592,0.3216612377850162,0.5431596091205212,0.0643322475570032,51,7,39
Beeline,1228,573,266,385,4,0.1658496732026143,0.4666123778501628,0.2166123778501628,0.3135179153094462,0.003257328990228,5,36,58
Bereke Bank,1228,186,355,654,33,-0.6041841004184101,0.1514657980456026,0.2890879478827362,0.5325732899022801,0.0268729641693811,33,9,47
Business & Technology Services (ERG BTS),1228,157,256,318,497,-0.3980848153214774,0.1278501628664495,0.2084690553745928,0.258957654723127,0.4047231270358306,42,45,14
Chocofamily,1228,275,354,543,56,-0.3890784982935154,0.2239413680781758,0.2882736156351791,0.4421824104234527,0.0456026058631921,22,18,43
Citix,1228,244,279,323,382,-0.2127659574468085,0.1986970684039088,0.2271986970684039,0.263029315960912,0.3110749185667752,27,44,19
