company_name,total_responses,want_count,unsure_count,not_want_count,unknown_brand_count,avg_response_score,want_pct,unsure_pct,not_want_pct,unknown_brand_pct,rank_want,rank_not_want,rank_unknown_brand,current_industry
1Fit,1111,198,344,538,31,-0.4685185185185185,0.1782178217821782,0.3096309630963096,0.4842484248424842,0.0279027902790279,38.0,11.0,70.0,ИТ продуктовая компания
Air Astana,1111,548,243,309,11,0.2381818181818182,0.4932493249324932,0.2187218721872187,0.2781278127812781,0.0099009900990099,4.0,50.0,81.0,Агрегатор / Платформа
Alabs.Team (Noventiq),1111,62,186,239,624,-0.4948665297741273,0.0558055805580558,0.1674167416741674,0.2151215121512151,0.5616561656165616,76.0,63.0,14.0,Разработка ПО | IT Outsourcing
Alatau City Bank,1111,148,339,470,154,-0.45141065830721,0.1332133213321332,0.3051305130513051,0.423042304230423,0.1386138613861386,46.0,21.0,50.0,Финансовый сектор (банк / брокер / страховая компания)
Alatau City Invest,1111,112,284,469,246,-0.5953757225433526,0.1008100810081008,0.2556255625562556,0.4221422142214221,0.2214221422142214,59.0,22.0,42.0,Финансовый сектор (банк / брокер / страховая компания)
Andersen Labs,1111,233,210,287,381,-0.1465753424657534,0.2097209720972097,0.189018901890189,0.2583258325832583,0.3429342934293429,30.0,53.0,30.0,Разработка ПО | IT Outsourcing
AtyrauTechInvest,1111,39,155,245,672,-0.6378132118451025,0.0351035103510351,0.1395139513951395,0.2205220522052205,0.6048604860486049,82.0,60.0,10.0,Горнодобывающая промышленность
Awara IT,1111,38,158,177,738,-0.5067024128686327,0.0342034203420342,0.1422142214221422,0.1593159315931593,0.6642664266426642,83.0,72.0,6.0,Разработка ПО | IT Outsourcing
Axellect,1111,49,149,167,746,-0.4438356164383562,0.0441044104410441,0.1341134113411341,0.1503150315031503,0.6714671467146714,79.0,74.0,5.0,Разработка ПО | IT Outsourcing
BCC Hub,1111,243,263,277,328,-0.0727969348659003,0.2187218721872187,0.2367236723672367,0.2493249324932493,0.2952295229522952,28.0,55.0,39.0,Другое
BCC Invest,1111,237,292,397,185,-0.275377969762419,0.2133213321332133,0.2628262826282628,0.3573357335733573,0.1665166516651665,29.0,31.0,48.0,Финансовый сектор (банк / брокер / страховая компания)
BI Innovations,1111,329,304,335,143,-0.0712809917355371,0.2961296129612961,0.2736273627362736,0.3015301530153015,0.1287128712871287,19.0,45.0,51.0,Разработка ПО | IT Outsourcing
BTSDigital,1111,213,253,375,270,-0.3127229488703923,0.1917191719171917,0.2277227722772277,0.3375337533753375,0.243024302430243,34.0,35.0,41.0,Разработка ПО | IT Outsourcing
Bank CenterCredit & BCC Hub,1111,400,312,362,37,0.0121042830540037,0.36003600360036,0.2808280828082808,0.3258325832583258,0.0333033303330333,12.0,39.0,67.0,Финансовый сектор (банк / брокер / страховая компания)
Bank RBK,1111,87,366,586,72,-0.6525505293551492,0.0783078307830783,0.3294329432943294,0.5274527452745275,0.0648064806480648,68.0,8.0,61.0,Финансовый сектор (банк / брокер / страховая компания)
Beeline,1111,532,252,309,18,0.2799634034766697,0.4788478847884788,0.2268226822682268,0.2781278127812781,0.0162016201620162,5.0,50.0,76.0,Телекоммуникации
Bereke Bank,1111,202,337,537,35,-0.4423791821561338,0.1818181818181818,0.3033303330333033,0.4833483348334833,0.0315031503150315,37.0,12.0,69.0,Финансовый сектор (банк / брокер / страховая компания)
Bilim Group,1111,80,229,371,431,-0.5808823529411765,0.072007200720072,0.2061206120612061,0.3339333933393339,0.3879387938793879,72.0,36.0,27.0,Образование / EdTech
