category,token,count
word_of_mouth,сотрудник,99
word_of_mouth,знакомый,50
word_of_mouth,коллега,38
word_of_mouth,человек,34
word_of_mouth,работник,20
platforms,linkedin,32
platforms,сми,19
platforms,glassdoor,18
platforms,сеть,18
platforms,соц,13
trust,доверять,58
trust,доверие,6
trust,частично,3
self_research,смотреть,43
self_research,опыт,31
self_research,личный,31
self_research,источник,23
self_research,общение,16
company_factors,рынок,27
company_factors,репутация,26
company_factors,условие,18
company_factors,продукт,17
company_factors,культура,12
attractiveness,работодатель,38
attractiveness,бренд,13
attractiveness,проект,10
attractiveness,интересный,8
formal_rankings,рейтинг,124
formal_rankings,обзор,37
formal_rankings,топ,15
formal_rankings,forbes,7
formal_rankings,consulting,3
