factor_type,factor_name_clean,mentions,respondents,weighted_score
choose,Удаленный / гибридный формат работы,483,483,1054.0
choose,Стабильность компании (финансовая устойчивость),499,499,992.0
choose,Моё профессиональное развитие,518,518,989.0
choose,Интересные задачи / проекты,465,465,896.0
choose,Баланс работы и личной жизни,406,406,826.0
choose,Команда и корпоративная культура,432,432,823.0
choose,Репутация компании на рынке,278,278,605.0
choose,Цифровые продукт компании,89,89,172.0
choose,Нахождение офиса компании,61,61,129.0
choose,Личный бренд основателя / руководителя компании,44,44,95.0
choose,Другое,10,10,16.0
choose,меняющий жизнь людей к лучшему,1,1,2.0
reject,Несоответствующий уровень заработной платы,705,705,1402.0
reject,Плохая репутация компании или её руководства,478,478,950.0
reject,"Нет официального оформление трудовых отношений (""серая"" или ""черная"" зарплата)",435,435,931.0
reject,Негативная атмосфера в команде,451,451,878.0
reject,Нет перспектив профессионального развития,347,347,674.0
reject,Нет удаленного или гибридного формат работы,267,267,572.0
reject,Нестабильный бизнес компании,252,252,494.0
reject,Нет интересных задач или проектов,207,207,431.0
reject,Неудовлетворительный процесс найма,72,72,141.0
reject,Непривлекательные цифровые продукты компании,54,54,100.0
reject,Другое,5,5,9.0
quit,Базовая зарплата не растет (каждый год),606,606,1318.0
quit,Токсичная атмосфера в команде,559,559,1173.0
quit,Непонятные / неэтические решения руководства,420,420,780.0
quit,Финансовая нестабильность компании или сокращение персонала,386,386,768.0
quit,Отсутствие карьерного роста (должность не меняется),337,337,659.0
quit,Отсутствие профессионального или технического развития,335,335,629.0
quit,Отмена удаленного / гибридного формат работы,222,222,446.0
quit,Высокая бюрократия (сложные / медленные бизнес процессы),197,197,381.0
quit,Нет амбициозных задач и проектов,148,148,276.0
quit,Смена руководства (компании / моего подразделения),68,68,134.0
quit,Ухудшение репутации компании на рынке,51,51,98.0
quit,Другое,4,4,4.0
