respondent_id,survey_language,participated_2025,gender,age_group,experience_group,specialization,grade,current_industry,city,employer_preference,main_decision_source,survey_score,ready_for_followup
1,rus,Да,Мужчина,22 - 26,Менее 2 лет,ИТ безопасность,Junior,ИТ продуктовая компания,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Личный бренд основателя или руководителя компании",5,Нет
2,rus,Да,Мужчина,32 - 36,Более 20 лет,ИТ безопасность,C-level (CEO + CEO-1),ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании, Личный опыт использования цифрового продукта или услуги компании",4,Нет
3,rus,Да,Женщина,32 - 36,7 - 10,HR | ИТ подбор,C-level (CEO + CEO-1),ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
4,rus,Да,Женщина,27 - 31,7 - 10,HR | ИТ подбор,Senior,ИТ продуктовая компания,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
5,rus,Нет,Женщина,37 - 41,Менее 2 лет,HR | ИТ подбор,Middle,ИТ продуктовая компания,Астана,Только казахстанская компания,"Рекомендации и отзывы сотрудников (нынешних или бывших), Официальный сайт компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
6,kaz,Нет,Мужчина,27 - 31,3 - 6,Frontend разработка,Senior,ИТ продуктовая компания,Атырау,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
7,rus,Нет,Женщина,27 - 31,3 - 6,HR | ИТ подбор,C-level,E-commerce | Логистика,Алматы,Только иностранная компания (в Казахстане),"Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
8,rus,Нет,Мужчина,32 - 36,15 - 19,Проектный менеджмент,Senior,Другое,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",4,Да
9,rus,Нет,Женщина,22 - 26,Менее 2 лет,HR | ИТ подбор,Middle,ИТ продуктовая компания,Астана,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Впечатление от общения с HR или ИТ-рекрутером компании",4,Нет
10,rus,Нет,Женщина,22 - 26,Менее 2 лет,Мобильная разработка,Middle,ИТ продуктовая компания,Астана,Только казахстанская компания,Рекомендации и отзывы сотрудников (нынешних или бывших),5,Нет
11,rus,Нет,Мужчина,27 - 31,7 - 10,Продакт менеджмент,C-level (CEO + CEO-1),ИТ продуктовая компания,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании, Впечатление от общения с HR или ИТ-рекрутером компании",4,Да
12,rus,Нет,Мужчина,32 - 36,11 - 14,Web-design | UX/UI,Senior,ИТ продуктовая компания,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
