category,token,count
too_long,вопрос,80
too_long,опросник,32
too_long,очень,22
too_long,слишком,20
too_long,долгий,7
too_many_companies,компания,174
too_many_companies,слишком,20
too_many_companies,список,19
too_many_companies,большой,6
too_many_companies,ноунейм,4
ux_ui,страница,10
ux_ui,назад,10
ux_ui,кнопка,7
ux_ui,клик,3
ux_ui,интерфейс,2
structure,категория,8
structure,разделить,6
structure,блок,6
structure,сгруппировать,3
structure,таблица,1
add_info,информация,7
add_info,описание,6
add_info,ссылка,4
add_info,логотип,2
add_info,что,2
open_questions,комментарий,19
open_questions,написать,8
open_questions,открытый,6
scale_issues,вариант,19
scale_issues,оценка,11
scale_issues,шкала,5
scale_issues,категорично,4
add_companies,добавить,42
add_companies,казахстанский,4
add_companies,стартап,1
add_companies,венчурка,1
answer_options,ответ,40
answer_options,выбор,22
answer_options,вариант,19
answer_options,ограничение,2
answer_options,опция,2
